location_id,location_name,location_type,type_id,ratings,no. of rating,provience,cost,user_id,best_time_to_visit,visiting_hours,Address,Website_link,image_link
0,Ripley's Aquarium of Canada,Aquariums,4,4.5,"20,326",ontario,15$,1,summer,Sun - Sat 10:00 AM - 8:00 PM,"288 Bremner Boulevard, Toronto, Ontario M5V 3L9 Canada",http://www.ripleyaquariums.com/canada,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f0/d6/1e/ripley-s-aquarium-of.jpg?w=400&h=400&s=1
1,Mount Royal Park,Parks,2,3,"10,493",quebec,5$,1,fall,Sun - Sat 6:00 AM - 12:00 AM,"1260 Remembrance Road, Montreal, Quebec H3H 1A2 Canada",http://www.lemontroyal.qc.ca/en,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/19/02/fe/photo1jpg.jpg?w=400&h=400&s=1
2,Stanley Park,Parks,2,4.5,"28,722",BC,free,1,all time,Sun-Sat 8:00 AM- 6:00 PM,"Stanley Park Causeway, Vancouver, British Columbia V6G 1Z4 Canada",http://vancouver.ca/parks-recreation-culture/stanley-park.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a6/09/9f/beautiful-view-of-stanley.jpg?w=400&h=400&s=1
3,Niagara Falls Canada,Points of Interest & Landmarks   Waterfalls,4,1,"31,476",ontario,free,2,all time,Thu - Thu 12:00 AM - 11:59 PM,"Niagara Falls, Ontario L2G 3Y9 Canada",https://www.niagarafallstourism.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/8b/5f/niagara-falls.jpg?w=400&h=400&s=1
4,Old Quebec,Neighbourhoods   Historic Walking Areas,5,5,"13,360",quebec,10$,2,summer,Sun - Sat 10:00 AM - 8:00 PM,"Rue de Tresor, Quebec City, Quebec GIR 5B8 Canada",http://whc.unesco.org/en/list/300,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/49/7b/photos-were-taken-on.jpg?w=400&h=-1&s=1
5,Heritage Park Historical Village,Historic Sites   Parks,5,3,"3,133",alberta,free,2,fall,Sun - Sat 6:00 AM - 12:00 AM,"1900 Heritage Dr SW, Calgary, Alberta T2V 2X3 Canada",http://www.heritagepark.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/79/69/37/heritage-park-historical.jpg?w=400&h=400&s=1
6,Parliament Hill and Buildings,Historic Sites   Government Buildings,5,4.5,"9,511",ontario,free,3,all time,Sun - Sat 12:00PM - 12:00 AM,"111 Wellington St, Ottawa, Ontario K1A 0A6 Canada",http://www.parl.gc.ca/visitors/index-e.asp,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c3/61/60/east-block.jpg?w=400&h=400&s=1
7,Royal BC Museum,Speciality Museums,5,4.5,"7,034",BC,5$,4,all time,Sat - Tue 10:00 AM - 6:00 PM,"675 Belleville St, Victoria, British Columbia V8W 1A1 Canada",http://www.royalbcmuseum.bc.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/4c/b2/0e/royal-bc-museum.jpg?w=400&h=400&s=1
8,Banff Gondola,Trams,1,2,"10,202",alberta,free,3,summer,Mon - Sun 11:00 AM - 9:00 PM,"Mountain Avenue, Banff, Banff National Park, Alberta T1L 1B2 Canada",http://www.banffgondola.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/44/d2/4f/owned-by-pursuit.jpg?w=400&h=400&s=1
9,Toronto Island Park,Islands   Parks,9,4.5,"8,437",ontario,20$,4,fall,Sun - Sat 10:00 AM - 5:00 PM,"9 Queens Quay West Bay Street, Jack Layton Ferry Terminal, Toronto, Ontario M5J 2H3 Canada",http://www.toronto.ca/parks/island/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/9f/cb/a0/toronto-island-parks.jpg?w=400&h=400&s=1
10,Lake Ontario,Bodies of Water,4,3,790,ontario,5$,3,all time,Sun - Sat 12:00 AM - 11:59 PM,Ontario L1S 3Z3 Canada,http://www.great-lakes.net/lakes/ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/61/c9/6c/lake-ontario.jpg?w=400&h=400&s=1
11,West Edmonton Mall,Shopping Malls,8,4,"4,198",alberta,50$,4,all time,Mon - Sat 10:00 AM - 9:00 PM,"8882 170th St, Edmonton, Alberta T5T 3J7 Canada",http://www.wem.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3d/75/4f/wow.jpg?w=400&h=400&s=1
12,Peller Estates Winery,Wineries & Vineyards,2,4.5,"2,789",ontario,free,1,summer,Fri - Sat 11:00 AM - 7:00 PM,"290 John Street East, Niagara-on-the-Lake, Ontario L0S 1J0 Canada",http://www.peller.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/0f/c9/00/the-10below-iceroom.jpg?w=400&h=400&s=1
13,Whistler Blackcomb,Mountains   Ski & Snowboard Areas,7,3,"4,230",BC,free,1,fall,Sun-Mon 8:30 AM - 3:00 PM,"4545 Blackcomb Way, Whistler, British Columbia V8E 0X9 Canad",http://www.whistlerblackcomb.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/a0/8a/cheakamus-lake-as-seen.jpg?w=400&h=400&s=1
14,Canadian Museum for Human Rights,Speciality Museums,5,4.5,"2,397",manitoba,6$,5,all time,Tue - Sat 10:00 AM - 5:00 PM,"85 Israel Asper Way, Winnipeg, Manitoba R3C 0L5 Canada",http://humanrights.ca/visit/hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/24/72/bd/canadian-museum-for-human.jpg?w=400&h=400&s=1
15,Halifax Waterfront Boardwalk,Piers & Boardwalks,1,4.5,"3,234",novaScotia,free,5,all time,Sun-Mon 8:30 AM - 3:00 PM,"entre le quai Purdys et la rue Salter, Halifax, Nova Scotia Canada",http://www.halifax.ca/rec/documents/HfxWaterfront.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/1a/77/0c/ferry-boat-lane-shops.jpg?w=400&h=400&s=1
16,Myra Canyon Park,State Parks   Canyons,7,5,"1,648",BC,35$,5,summer,Tue - Sat 10:00 AM - 5:00 PM,"Kelowna, British Columbia Canada",http://www.myratrestles.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/20/ce/b5/myra-canyon-park.jpg?w=400&h=400&s=1
17,Port Credit,Bodies of Water   Neighbourhoods,4,4.5,953,ontario,50$,2,fall,Sun - Sat 10:00 AM - 8:00 PM,"Lakeshore Road West, Mississauga, Ontario L5H 1G3 Canada",http://www.portcredit.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/34/ad/db/photo0jpg.jpg?w=400&h=400&s=1
18,Lost Lake,Bodies of Water,4,4.5,"1,777",BC,free,2,all time,Thu - Thu 12:00 AM - 11:59 PM,"Whistler, British Columbia Canada",http://www.whistler.ca/lost-lake-park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/cc/37/9d/photo2jpg.jpg?w=400&h=400&s=1
19,The Calgary Zoo,Nature & Wildlife Areas   Zoos,2,3.5,"4,461",alberta,free,2,all time,Sat - Thu 9:00 AM - 6:00 PM,"1300 Zoo Rd NE, Calgary, Alberta T2E 7V6 Canada",http://www.calgaryzoo.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e9/81/5a/this-panda-is-getting.jpg?w=400&h=400&s=1
20,Dundurn Castle,Historic Sites   Castles,5,2,679,ontario,15$,3,summer,Tue - Sun 12:00 PM - 4:00 PM,"610 York Boulevard, Hamilton, Ontario L8R 3H1 Canada",http://www.hamilton.ca/attractions/hamilton-civic-museums/dundurn-national-historic-site,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/89/39/90/a-view-of-the-front-of.jpg?w=400&h=400&s=1
21,Old Montreal,Points of Interest & Landmarks,5,3,"13,573",quebec,5$,3,fall,Sun - Sat 10:00 AM - 6:00 PM,"Montreal, Quebec H2Y 3Y8 Canada",http://www.vieux.montreal.qc.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d6/db/39/city-hall.jpg?w=400&h=400&s=1
22,Notre-Dame Basilica,Points of Interest & Landmarks   Churches & Cathedrals,5,4.5,"19,882",quebec,free,3,all time,Sun - Sat 10:00 AM - 8:00 PM,"110 Notre-Dame Street West Es-ce Accessible En Fauteuil Roulant, Montreal, Quebec H2Y 1T1 Canada",http://www.basiliquenotredame.ca/en/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/cf/de/interior-from-the-main.jpg?w=400&h=400&s=1
23,Le Petit Train du Nord Bike Path,Hiking Trails,7,3,112,quebec,free,4,all time,Mon - Sat 10:00 AM - 9:00 PM,Quebec Canada,http://www.ignace.qc.ca/en,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/45/56/25/le-petit-train-du-nord.jpg?w=400&h=400&s=1
24,Capilano Suspension Bridge Park,Bridges   Parks,1,4.5,"9,954",BC,10$,4,summer,Sun - Sat 10:00 AM - 6:00 PM,"3735 Capilano Rd, North Vancouver, British Columbia V7R 4J1 Canada",http://www.capbridge.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/4b/9b/9a/capilano-suspension-bridge.jpg?w=400&h=400&s=1
25,Kinsol Trestle,Bridges,1,4.5,187,BC,free,4,fall,Tue - Sat 10:00 AM - 5:00 PM,"Gleneagles Road, British Columbia Canada",http://www.cvrd.bc.ca/index.aspx?NID=1379,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ed/b7/5e/photo1jpg.jpg?w=400&h=400&s=1
26,Springbank Park,Nature & Wildlife Areas   Parks,2,4.5,466,ontario,11$,1,all time,Sat - Thu 9:00 AM - 6:00 PM,"1958 Storybook Lane, London, Ontario N6K 4Y6 Canada",http://www.storybook.london.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/8e/51/tranquil-for-walks.jpg?w=400&h=400&s=1
27,Kingston Waterfront,Parks,2,2,"1,175",ontario,5$,1,all time,Sun - Sat 10:00 AM - 5:00 PM,"Ontario Street, Kingston, Ontario Canada",http://k7waterfront.org/,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/ec/dd/ff/nice-day-on-the-waterfront.jpg?w=400&h=400&s=1
28,Moraine Lake,Bodies of Water,4,5,"5,818",alberta,free,1,summer,Tue - Sun 12:00 PM - 4:00 PM,"Moraine Lake Rd off Great Divide Hwy, Lake Louise, Banff National Park, Alberta Canada",http://morainelake.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/59/f7/05/moraine-lake.jpg?w=400&h=400&s=1
29,The Grotto,Points of Interest & Landmarks,5,4.5,"1,207",ontario,free,1,fall,Sun - Sat 10:00 AM - 5:00 PM,"Tobermory, Ontario Canada",http://www.pc.gc.ca/en/pn-np/on/bruce/activ/emplacements-locations/parking,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/9b/f5/a4/filename-629-jpg-thumbnail0.jpg?w=400&h=400&s=1
30,CN Tower,Points of Interest & Landmarks   Architectural Buildings,5,3.5,"25,009",ontario,15$,1,all time,Mon - Sat 10:00 AM - 9:00 PM,"290 Bremner Blvd, Toronto, Ontario M5V 3L9 Canada",http://www.cntower.ca/,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/10/9d/ed/bb/caption.jpg?w=400&h=400&s=1
31,Athabasca Falls,Waterfalls,4,4.5,"5,704",alberta,15$,2,all time,Sat - Thu 9:00 AM - 6:00 PM,"Hwy 93, Jasper, Jasper National Park, Alberta T0E 1E0 Canada",http://www.pc.gc.ca/eng/pn-np/ab/jasper/index.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/68/57/a1/athabasca-falls.jpg?w=400&h=400&s=1
32,Maligne Lake,Bodies of Water,4,4.5,"1,494",alberta,5$,2,summer,Tue - Sat 10:00 AM - 5:00 PM,"Maligne Lake Rd. 44 km southeast of Jasper, Jasper National Park, Alberta Canada",http://www.malignelake.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/b6/f6/6d/maligne-lake.jpg?w=400&h=400&s=1
33,Canmore Cave Tours,Caverns & Caves,7,5,"1,023",alberta,free,2,fall,Mon - Sat 10:00 AM - 9:00 PM,"129 Bow Meadows Cres Unit 202, Canmore, Alberta T1W 2W8 Canada",http://www.canmorecavetours.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/4b/6a/73/rat-s-nest-cave-at-canmore.jpg?w=400&h=400&s=1
34,Signal Hill,Historic Sites   Points of Interest & Landmarks,5,4.5,"3,524",new foundland,10$,2,all time,Sat - Wed 10:00 AM - 6:00 PM,"Signal Hill Road, St. John Newfoundland Labrador A1A 1B2 Canada",http://www.pc.gc.ca/eng/lhn-nhs/nl/signalhill/index.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b6/47/14/cabot-tower-on-signal.jpg?w=400&h=400&s=1
35,Fort Edmonton Park,Historic Sites   Amusement & Theme Parks,6,4.5,"1,740",alberta,free,2,all time,Tue - Sat 10:00 AM - 5:00 PM,"On Whitemud Dr, Edmonton, Alberta T5J 2R7 Canada",http://www.fortedmontonpark.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d7/34/1e/1920s-street-at-fort.jpg?w=400&h=400&s=1
36,Whistler Mountain Bike Park,Mountains   Sports Complexes,7,5,588,BC,15$,3,summer,Mon - Sat 10:00 AM - 9:00 PM,"4545 Blackcomb Way, Whistler, British Columbia V8E 0X9 Canada",http://www.whistlerbike.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ab/9c/0d/whistler-mountain-bike.jpg?w=400&h=400&s=1
37,Windsor Riverfront,Points of Interest & Landmarks,5,4.5,857,ontario,5$,4,fall,Sat - Wed 10:00 AM - 6:00 PM,"Riverside Drive West, Windsor, Ontario Canada",http://www.waterfronttrail.org/windsor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/93/fe/e0/windsor-riverfront.jpg?w=400&h=400&s=1
38,Canadian War Museum,Military Museums   Points of Interest & Landmarks,5,4.5,"4,545",ontario,free,3,all time,Fri - Sun 10:00 AM - 4:00 PM,"1 Vimy Place, Ottawa, Ontario K1A 0M8 Canada",https://www.warmuseum.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/31/df/3f/musee-canadien-de-la.jpg?w=400&h=400&s=1
39,Vaughan Mills,Shopping Malls,8,4,777,ontario,20$,3,all time,Mon - Sat 11:00 AM - 7:00 PM,"1 Bass Pro Mills Drive, Vaughan, Ontario L4K 5W4 Canada",http://www.vaughanmills.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/40/41/a2/vaughan-mills.jpg?w=400&h=400&s=1
40,Icefields Parkway,Scenic Drives,7,5,"1,845",alberta,free,3,summer,Fri - Sun 10:00 AM - 4:00 PM,"Banff National Park, Alberta Canada",http://www.icefieldsparkway.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/99/92/aa/lac-bow.jpg?w=400&h=400&s=1
41,Pacific Rim National Park,National Parks   Hiking Trails,2,3,"1,336",BC,5$,4,fall,Sat - Wed 10:00 AM - 6:00 PM,"Tofino, British Columbia V0R 3A0 Canada",http://pc.gc.ca/pacificrim,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ee/18/be/pacific-rim-national.jpg?w=400&h=400&s=1
42,St  Lawrence Market,Flea & Street Markets,8,4.5,"13,867",ontario,free,4,all time,Tue - Thu 8:00 AM - 6:00 PM,"92-95 Front St. E., Toronto, Ontario M5E 1C4 Canada",http://www.stlawrencemarket.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/55/de/c5/outside-shot-of-st-lawrence.jpg?w=400&h=400&s=1
43,Steveston Heritage Fishing Village,Historic Sites   Piers & Boardwalks,5,4.5,"1,314",BC,free,4,all time,Sat - Wed 10:00 AM - 6:00 PM,"3820 Bayview St, Richmond, British Columbia V7E 4R7 Canada",http://www.tourismrichmond.com/things-to-do/steveston,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c5/64/0a/steveston-heritage-fishing.jpg?w=400&h=400&s=1
44,Elk Island National Park,National Parks,2,2.5,600,alberta,10$,4,summer,Tue - Thu 8:00 AM - 6:00 PM,"via Highway 16 East, Edmonton, Alberta T8L 2N7 Canada",http://www.pc.gc.ca/elkisland,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/1b/5b/6b/20190625-121053-largejpg.jpg?w=400&h=400&s=1
45,Halifax Public Gardens,Gardens,2,4.5,"3,990",nova scotia,free,4,fall,Tue - Sat 10:00 AM - 5:00 PM,"Spring Garden Road and South Park St, Halifax, Nova Scotia B3T 2M3 Canada",http://www.halifaxpublicgardens.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c3/09/51/caption.jpg?w=400&h=400&s=1
46,Grassi Lakes,Bodies of Water,4,3.5,"1,617",alberta,15$,5,all time,Mon - Sat 10:00 AM - 9:00 PM,"Canmore, Alberta Canada",-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/1e/71/5a/grassi-lakes.jpg?w=400&h=400&s=1
47,Sea to Sky Highway,Scenic Drives,7,4.5,"1,492",BC,5$,5,all time,Mon - Sat 10:00 AM - 9:00 PM,"Highway 99, British Columbia Canad",http://www.hellobc.com/driving-routes/31/sea-to-sky-highway-route.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f0/67/a4/photo5jpg.jpg?w=400&h=400&s=1
48,Gage Park,Parks,2,4.5,535,ontario,free,5,summer,Tue - Thu 8:00 AM - 6:00 PM,"2 Wellington St W, Brampton, Ontario L6Y 4R2 Canada",http://www.brampton.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/70/62/fa/gage-park.jpg?w=400&h=400&s=1
49,Lynn Canyon Park,Parks,2,3,"2,174",BC,20$,5,fall,Tue - Thu 8:00 AM - 6:00 PM,"993 Peters Road, North Vancouver, British Columbia V7J 1Y6 Canada",http://lynncanyon.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9c/3b/27/lynn-canyon-park.jpg?w=400&h=400&s=1
50,Fort Henry National Historic Site,Historic Sites   History Museums,5,4.5,"1,591",ontario,free,5,all time,Sun - Sat 10:00 AM - 4:30 PM,"1 Fort Henry Drive K7L4V8, Kingston, Ontario Canada",http://www.forthenry.com/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c2/2e/b7/photo0jpg.jpg?w=400&h=400&s=1
51,Brandywine Falls Provincial Park,Waterfalls,4,2.5,718,BC,12$,5,all time,Mon - Sat 10:00 AM - 9:00 PM,"Highway 99, Whistler, British Columbia V0N 1H0 Canada",http://www.env.gov.bc.ca/bcparks/explore/parkpgs/brandywine_falls/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/bb/57/4a/brandywine-falls-provincial.jpg?w=400&h=400&s=1
52,Canadian Museum of History,Speciality Museums   History Museums,5,4.5,"2,212",quebec,2$,4,summer,Fri - Sun 10:00 AM - 4:00 PM,"100 Laurier St, Gatineau, Quebec K1A 0M8 Canada",http://www.historymuseum.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/c5/31/27/grand-hall.jpg?w=400&h=400&s=1
53,Peyto Lake,Bodies of Water,4,5,"3,192",alberta,free,4,fall,Sat - Wed 10:00 AM - 6:00 PM,"Icefield Parkway, Lake Louise, Banff National Park, Alberta Canada",http://banffandbeyond.com/category/banff-lake-louise/peyto-lake-and-bow-summit,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/2a/ab/fc/peyto-lake.jpg?w=400&h=400&s=1
54,Tremblant,Ski & Snowboard Areas,7,4.5,"2,108",quebec,10$,3,all time,Sun - Sat 12:00 AM - 11:59 PM,"1000 chemin des Voyageurs, Mont Tremblant, Quebec J8E 1T1 Canada",http://www.tremblant.ca/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/13/75/94/fall-colors.jpg?w=400&h=400&s=1
55,Prince Edward Island National Park,National Parks,2,4.5,557,edward island,free,2,all time,Fri - Sun 10:00 AM - 4:00 PM,Prince Edward Island Canada,http://www.pc.gc.ca/pn-np/pe/pei-ipe/visit.aspx,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ed/bd/60/one-of-the-many-stunning.jpg?w=400&h=400&s=1
56,Flowerpot Island,Islands,9,1.5,685,ontario,15$,3,summer,Sat - Wed 10:00 AM - 6:00 PM,"Tobermory, Ontario N0H 2R0 Canada",http://www.pc.gc.ca/en/amnc-nmca/on/fathomfive/activ/flowerpot,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ef/16/df/flowerpot-island.jpg?w=400&h=400&s=1
57,Western Development Museum,Speciality Museums,5,3.5,947,Saskatchewan,5$,1,fall,Sun - Sat 12:00 AM - 11:59 PM,"2610 Lorne Ave, Saskatoon, Saskatchewan S7J 0S6 Canada",http://www.wdm.ca/stoon.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a3/02/a0/a-great-place-to-visit.jpg?w=400&h=400&s=1
58,Neck Point Park,Parks,2,4.5,434,BC,free,4,all time,Fri - Sun 10:00 AM - 4:00 PM,"Morningside Drive, Nanaimo, British Columbia Canada",http://www.nanaimo.ca/PRC/Locations/Parks/224-Neck-Point-Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/78/96/30/the-lookout.jpg?w=400&h=400&s=1
59,Annapolis Valley,Valleys,9,5,21,nova scotia,free,5,all time,Sat - Wed 10:00 AM - 6:00 PM,"Nova Scotia,canada",-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/08/3a/bb/part-of-the-valley-from.jpg?w=400&h=400&s=1
